r h_AllPart g_AllPart h_OO g_OO h_SiO g_SiO h_SiSi g_SiSi
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
0.024849699398797595 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
0.04969939879759519 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
0.07454909819639279 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
0.09939879759519038 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
0.12424849699398798 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
0.14909819639278557 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
0.17394789579158315 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
0.19879759519038076 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
0.22364729458917837 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
0.24849699398797595 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
0.27334669338677353 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
0.29819639278557114 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
0.32304609218436875 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
0.3478957915831663 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
0.3727454909819639 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
0.3975951903807615 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
0.42244488977955913 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
0.44729458917835674 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
0.4721442885771543 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
0.4969939879759519 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
0.5218436873747495 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
0.5466933867735471 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
0.5715430861723447 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
0.5963927855711423 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
0.6212424849699398 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
0.6460921843687375 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
0.670941883767535 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
0.6957915831663326 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
0.7206412825651303 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
0.7454909819639278 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
0.7703406813627255 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
0.795190380761523 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
0.8200400801603206 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
0.8448897795591183 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
0.8697394789579158 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
0.8945891783567135 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
0.919438877755511 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
0.9442885771543086 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
0.9691382765531062 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
0.9939879759519038 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1.0188376753507014 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1.043687374749499 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1.0685370741482967 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1.0933867735470941 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1.1182364729458918 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1.1430861723446895 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1.167935871743487 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1.1927855711422846 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1.2176352705410822 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1.2424849699398797 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1.2673346693386773 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1.292184368737475 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1.3170340681362724 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1.34188376753507 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1.3667334669338678 2.0 0.05273438414229625 0.0 0.0 2.0 0.11865236432016657 0.0 0.0
1.3915831663326652 2.0 0.05085121708602986 0.0 0.0 2.0 0.11441523844356719 0.0 0.0
1.4164328657314629 6.0 0.14720145048303265 0.0 0.0 6.0 0.3312032635868234 0.0 0.0
1.4412825651302605 18.0 0.4263781504010494 0.0 0.0 18.0 0.9593508384023613 0.0 0.0
1.4661322645290582 26.0 0.595004311112888 0.0 0.0 26.0 1.3387597000039981 0.0 0.0
1.4909819639278556 76.0 1.6812740504186097 0.0 0.0 76.0 3.7828666134418722 0.0 0.0
1.5158316633266533 76.0 1.6261553309804266 0.0 0.0 76.0 3.6588494947059607 0.0 0.0
1.540681362725451 112.0 2.319141749991371 0.0 0.0 112.0 5.2180689374805835 0.0 0.0
1.5655310621242484 192.0 3.8494705453393774 0.0 0.0 192.0 8.6613087270136 0.0 0.0
1.590380761523046 206.0 4.00110424076021 0.0 0.0 206.0 9.002484541710471 0.0 0.0
1.6152304609218437 228.0 4.292158886987264 0.0 0.0 228.0 9.657357495721344 0.0 0.0
1.6400801603206412 218.0 3.9795551692198234 0.0 0.0 218.0 8.953999130744602 0.0 0.0
1.6649298597194389 206.0 3.6482519032543985 0.0 0.0 206.0 8.208566782322398 0.0 0.0
1.6897795591182365 186.0 3.197175874574303 0.0 0.0 186.0 7.193645717792181 0.0 0.0
1.714629258517034 154.0 2.570401326709103 0.0 0.0 154.0 5.783402985095481 0.0 0.0
